日期,产品,类别,销量,销售额,利润,地区,是否促销
2024-01-01,产品A,电子产品,120,12000,2400,北京,是
2024-01-02,产品B,服装,85,8500,1700,上海,否
2024-01-03,产品C,食品,200,6000,1200,广州,是
2024-01-04,产品A,电子产品,150,15000,3000,深圳,是
2024-01-05,产品D,家居,95,14250,2850,北京,否
2024-01-06,产品B,服装,110,11000,2200,上海,是
2024-01-07,产品C,食品,180,5400,1080,广州,否
2024-01-08,产品E,电子产品,75,22500,4500,深圳,是
2024-01-09,产品A,电子产品,130,13000,2600,北京,否
2024-01-10,产品F,服装,90,13500,2700,上海,是
2024-01-11,产品B,服装,105,10500,2100,广州,否
2024-01-12,产品C,食品,220,6600,1320,深圳,是
2024-01-13,产品D,家居,88,13200,2640,北京,是
2024-01-14,产品A,电子产品,140,14000,2800,上海,否
2024-01-15,产品E,电子产品,92,27600,5520,广州,是
2024-01-16,产品F,服装,78,11700,2340,深圳,否
2024-01-17,产品B,服装,115,11500,2300,北京,是
2024-01-18,产品C,食品,195,5850,1170,上海,否
2024-01-19,产品D,家居,102,15300,3060,广州,是
2024-01-20,产品A,电子产品,125,12500,2500,深圳,否
2024-01-21,产品E,电子产品,88,26400,5280,北京,是
2024-01-22,产品F,服装,95,14250,2850,上海,否
2024-01-23,产品B,服装,108,10800,2160,广州,是
2024-01-24,产品C,食品,210,6300,1260,深圳,是
2024-01-25,产品D,家居,92,13800,2760,北京,否
2024-01-26,产品A,电子产品,135,13500,2700,上海,是
2024-01-27,产品E,电子产品,80,24000,4800,广州,否
2024-01-28,产品F,服装,100,15000,3000,深圳,是
2024-01-29,产品B,服装,112,11200,2240,北京,否
2024-01-30,产品C,食品,205,6150,1230,上海,是
2024-01-31,产品D,家居,98,14700,2940,广州,否
2024-02-01,产品A,电子产品,145,14500,2900,深圳,是
2024-02-02,产品E,电子产品,72,21600,4320,北京,否
2024-02-03,产品F,服装,105,15750,3150,上海,是
2024-02-04,产品B,服装,98,9800,1960,广州,否
2024-02-05,产品C,食品,190,5700,1140,深圳,是
2024-02-06,产品D,家居,105,15750,3150,北京,是
2024-02-07,产品A,电子产品,128,12800,2560,上海,否
2024-02-08,产品E,电子产品,85,25500,5100,广州,是
2024-02-09,产品F,服装,92,13800,2760,深圳,否
2024-02-10,产品B,服装,118,11800,2360,北京,是
2024-02-11,产品C,食品,215,6450,1290,上海,否
2024-02-12,产品D,家居,88,13200,2640,广州,是
2024-02-13,产品A,电子产品,152,15200,3040,深圳,是
2024-02-14,产品E,电子产品,78,23400,4680,北京,否
2024-02-15,产品F,服装,108,16200,3240,上海,是
2024-02-16,产品B,服装,102,10200,2040,广州,否
2024-02-17,产品C,食品,198,5940,1188,深圳,是
2024-02-18,产品D,家居,95,14250,2850,北京,否
2024-02-19,产品A,电子产品,138,13800,2760,上海,是
